rank,title,title_jp,score,scored_by,members,year,genres,url
649,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,ようこそ実力至上主義の教室へ 2nd Season,8.05,453188,782644,2022,Drama|Suspense,https://myanimelist.net/anime/51096/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season
660,Jibaku Shounen Hanako-kun 2 Part 2,地縛少年花子くん2 後編,8.04,17071,53303,2025,Supernatural,https://myanimelist.net/anime/61339/Jibaku_Shounen_Hanako-kun_2_Part_2
664,Sakura-sou no Pet na Kanojo,さくら荘のペットな彼女,8.04,741838,1317155,2012,Drama|Romance,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo
650,Akatsuki no Yona,暁のヨナ,8.04,450675,931672,2014,Adventure|Fantasy|Romance,https://myanimelist.net/anime/25013/Akatsuki_no_Yona
658,Kuroko no Basket,黒子のバスケ,8.04,767568,1303369,2012,Sports,https://myanimelist.net/anime/11771/Kuroko_no_Basket
665,Toradora!,とらドラ！,8.04,1463261,2350046,2008,Drama|Romance,https://myanimelist.net/anime/4224/Toradora
659,Gosick,GOSICK -ゴシック-,8.04,246731,599988,2011,Drama|Mystery|Romance,https://myanimelist.net/anime/8425/Gosick
667,Yowamushi Pedal: Grande Road,弱虫ペダル GRANDE ROAD,8.04,83509,150095,2014,Sports,https://myanimelist.net/anime/24277/Yowamushi_Pedal__Grande_Road
666,World Trigger 2nd Season,ワールドトリガー,8.04,67732,173987,2021,Action|Sci-Fi,https://myanimelist.net/anime/40907/World_Trigger_2nd_Season
657,Koukyoushihen Eureka Seven,交響詩篇エウレカセブン,8.04,188293,457939,2005,Adventure|Drama|Romance|Sci-Fi,https://myanimelist.net/anime/237/Koukyoushihen_Eureka_Seven
652,Dorohedoro,ドロヘドロ,8.04,313350,626087,2020,Action|Comedy|Fantasy|Horror,https://myanimelist.net/anime/38668/Dorohedoro
651,Darker than Black: Kuro no Keiyakusha,Darker than BLACK -黒の契約者-,8.04,452910,1001964,2007,Action|Mystery,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha
675,Kimetsu no Yaiba: Hashira Geiko-hen,鬼滅の刃 柱稽古編,8.03,437408,751260,2024,Action|Supernatural,https://myanimelist.net/anime/55701/Kimetsu_no_Yaiba__Hashira_Geiko-hen
676,Yuru Camp△ Season 3,ゆるキャン△ SEASON3,8.03,37744,101692,2024,Slice of Life,https://myanimelist.net/anime/53410/Yuru_Camp△_Season_3
672,Hibike! Euphonium,響け！ユーフォニアム,8.03,211019,507569,2015,Drama,https://myanimelist.net/anime/27989/Hibike_Euphonium
676,Lovely★Complex,ラブ★コン,8.03,315545,645496,2007,Comedy|Romance,https://myanimelist.net/anime/2034/Lovely★Complex
675,Shijou Saikyou no Deshi Kenichi,史上最強の弟子 ケンイチ,8.03,165015,322710,2006,Action|Comedy,https://myanimelist.net/anime/1559/Shijou_Saikyou_no_Deshi_Kenichi
669,Kill la Kill,キルラキル,8.03,1004936,1837405,2013,Action|Comedy|Fantasy|Ecchi,https://myanimelist.net/anime/18679/Kill_la_Kill
669,Black Lagoon,BLACK LAGOON,8.03,532622,1101685,2006,Action,https://myanimelist.net/anime/889/Black_Lagoon
679,No Game No Life,ノーゲーム・ノーライフ,8.03,1617929,2543899,2014,Comedy|Fantasy|Ecchi,https://myanimelist.net/anime/19815/No_Game_No_Life
681,Apocalypse Hotel,アポカリプスホテル,8.02,25379,72716,2025,Comedy|Sci-Fi,https://myanimelist.net/anime/59675/Apocalypse_Hotel
687,Hikaru ga Shinda Natsu,光が死んだ夏,8.02,101330,278915,2025,Horror|Mystery|Supernatural,https://myanimelist.net/anime/58913/Hikaru_ga_Shinda_Natsu
688,Karakai Jouzu no Takagi-san 2,からかい上手の高木さん2,8.02,195845,359405,2019,Comedy|Romance,https://myanimelist.net/anime/38993/Karakai_Jouzu_no_Takagi-san_2
684,Dennou Coil,電脳コイル,8.02,45959,158567,2007,Adventure|Award Winning|Drama|Mystery|Sci-Fi,https://myanimelist.net/anime/2164/Dennou_Coil
686,Glass no Kamen (2005),ガラスの仮面 (2005),8.02,13717,44851,2005,Drama|Romance,https://myanimelist.net/anime/1974/Glass_no_Kamen_2005
693,Tsuki ga Kirei,月がきれい,8.02,275434,592422,2017,Romance,https://myanimelist.net/anime/34822/Tsuki_ga_Kirei
692,Shadows House 2nd Season,シャドーハウス 2nd Season,8.02,58533,139024,2022,Fantasy|Mystery,https://myanimelist.net/anime/49782/Shadows_House_2nd_Season
690,Naruto,ナルト,8.02,2124906,3090230,2002,Action|Adventure|Fantasy,https://myanimelist.net/anime/20/Naruto
689,Mairimashita! Iruma-kun 2nd Season,魔入りました！入間くん,8.02,184409,367785,2021,Comedy|Fantasy,https://myanimelist.net/anime/41402/Mairimashita_Iruma-kun_2nd_Season
703,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,8.01,181089,310267,2003,Action|Comedy,https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu
705,Kimi ni Todoke,君に届け,8.01,517395,1062108,2009,Drama|Romance,https://myanimelist.net/anime/6045/Kimi_ni_Todoke
710,Pui Pui Molcar,PUI PUI モルカー,8.01,11411,19413,2021,Comedy,https://myanimelist.net/anime/44235/Pui_Pui_Molcar
720,Ao no Exorcist: Yosuga-hen,青の祓魔師 終夜篇,8,30308,83321,2025,Action|Supernatural,https://myanimelist.net/anime/59226/Ao_no_Exorcist__Yosuga-hen
713,Baby Steps 2nd Season,ベイビーステップ 第2シリーズ,8,56847,95980,2015,Sports,https://myanimelist.net/anime/27663/Baby_Steps_2nd_Season
725,Tokyo Magnitude 8.0,東京マグニチュード8.0,8,130811,313133,2009,Award Winning|Drama,https://myanimelist.net/anime/6211/Tokyo_Magnitude_80
718,Hanada Shounen-shi,花田少年史,8,5343,18673,2002,Comedy|Drama|Supernatural,https://myanimelist.net/anime/2004/Hanada_Shounen-shi
723,SK∞,SK∞ エスケーエイト,8,318334,626125,2021,Sports,https://myanimelist.net/anime/42923/SK∞
711,5-toubun no Hanayome ∬,五等分の花嫁∬,8,490903,803864,2021,Comedy|Romance,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬
715,D.Gray-man,ディー・グレイマン,8,296529,728279,2006,Action|Adventure|Fantasy,https://myanimelist.net/anime/1482/DGray-man
721,Magi: The Labyrinth of Magic,マギ The labyrinth of magic,8,582402,1115372,2012,Action|Adventure|Fantasy,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
724,Toaru Kagaku no Railgun S,とある科学の超電磁砲S,8,216105,412048,2013,Action|Fantasy|Sci-Fi,https://myanimelist.net/anime/16049/Toaru_Kagaku_no_Railgun_S
719,Juuni Kokuki,十二国記,8,49271,171357,2002,Action|Adventure|Fantasy,https://myanimelist.net/anime/153/Juuni_Kokuki
726,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,やはり俺の青春ラブコメはまちがっている。,8,916513,1554720,2013,Comedy|Romance,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
733,Ruri no Houseki,瑠璃の宝石,7.99,27729,83343,2025,Slice of Life,https://myanimelist.net/anime/59791/Ruri_no_Houseki
727,BanG Dream! 3rd Season,BanG Dream!（バンドリ！）第3期,7.99,20251,43560,2020,,https://myanimelist.net/anime/37870/BanG_Dream_3rd_Season
729,Clannad,CLANNAD,7.99,793289,1500692,2007,Drama|Romance,https://myanimelist.net/anime/2167/Clannad
735,Saiunkoku Monogatari 2nd Season,彩雲国物語 第2シリーズ,7.99,18906,45215,2007,Adventure|Fantasy|Romance,https://myanimelist.net/anime/1914/Saiunkoku_Monogatari_2nd_Season
730,Haibane Renmei,灰羽連盟,7.99,114111,331403,2002,Drama|Fantasy|Mystery,https://myanimelist.net/anime/387/Haibane_Renmei
