rank,title,title_jp,score,scored_by,members,year,genres,url
159,Gintama. Porori-hen,銀魂。ポロリ編,8.51,111997,220770,2017,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/35843/Gintama_Porori-hen
159,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,8.51,108975,240895,2004,Mystery|Sci-Fi,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
158,Jujutsu Kaisen,呪術廻戦,8.51,1966489,2983865,2020,Action|Award Winning|Supernatural,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
160,Grand Blue Season 2,ぐらんぶる Season 2,8.5,82101,189375,2025,Comedy,https://myanimelist.net/anime/59986/Grand_Blue_Season_2
166,Yuru Camp△ Season 2,ゆるキャン△ SEASON2,8.5,112414,251896,2021,Slice of Life,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
165,Sora yori mo Tooi Basho,宇宙よりも遠い場所,8.5,234982,550308,2018,Adventure|Comedy|Drama,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
161,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,8.5,865324,1252381,2016,Action|Adventure,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
168,Mob Psycho 100,モブサイコ100,8.49,1408439,2296947,2016,Action|Comedy|Supernatural,https://myanimelist.net/anime/32182/Mob_Psycho_100
170,One Punch Man,ワンパンマン,8.48,2406214,3492399,2015,Action|Comedy,https://myanimelist.net/anime/30276/One_Punch_Man
171,Ousama Ranking,王様ランキング,8.48,394988,747926,2021,Adventure|Fantasy,https://myanimelist.net/anime/40834/Ousama_Ranking
179,Yakusoku no Neverland,約束のネバーランド,8.47,1388607,2137962,2019,Mystery|Suspense,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
175,Uchuu Kyoudai,宇宙兄弟,8.47,55813,209598,2012,Comedy,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
173,Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,8.47,966622,1556699,2016,Action|Comedy,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
178,Aria the Origination,ARIA The ORIGINATION,8.47,34679,141107,2008,Sci-Fi|Slice of Life,https://myanimelist.net/anime/3297/Aria_the_Origination
176,Nichijou,日常,8.47,398959,975931,2011,Comedy,https://myanimelist.net/anime/10165/Nichijou
182,Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,8.46,166466,422820,2010,Drama|Suspense,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
183,Summertime Render,サマータイムレンダ,8.46,286181,666675,2022,Mystery|Supernatural|Suspense,https://myanimelist.net/anime/47194/Summertime_Render
190,Medalist 2nd Season,メダリスト 第2期,8.45,4041,32142,2026,Drama|Sports,https://myanimelist.net/anime/61335/Medalist_2nd_Season
191,Owarimonogatari,終物語,8.45,250442,508070,2015,Comedy|Mystery|Supernatural,https://myanimelist.net/anime/31181/Owarimonogatari
186,Banana Fish,BANANA FISH,8.45,411210,955078,2018,Action|Adventure|Drama|Suspense,https://myanimelist.net/anime/36649/Banana_Fish
189,Grand Blue,ぐらんぶる,8.45,478198,895105,2018,Comedy,https://myanimelist.net/anime/37105/Grand_Blue
187,Chihayafuru 3,ちはやふる 3,8.45,70483,156184,2019,Drama|Romance|Sports,https://myanimelist.net/anime/37379/Chihayafuru_3
193,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,8.44,873285,1233438,2015,Action|Adventure,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen
199,Dandadan,ダンダダン,8.43,570212,935677,2024,Action|Comedy|Supernatural,https://myanimelist.net/anime/57334/Dandadan
196,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ゼロから始める異世界生活 3rd season,8.43,216328,480745,2024,Drama|Fantasy|Suspense,https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season
203,Zoku Owarimonogatari,続・終物語,8.43,120673,250714,2019,Comedy|Mystery|Supernatural,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
195,Chainsaw Man,チェンソーマン,8.43,1115297,1922933,2022,Action|Fantasy,https://myanimelist.net/anime/44511/Chainsaw_Man
199,Haikyuu!!,ハイキュー!!,8.43,1337298,2155014,2014,Sports,https://myanimelist.net/anime/20583/Haikyuu
198,Golden Kamuy 3rd Season,ゴールデンカムイ,8.43,97605,197690,2020,Action|Adventure,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
205,Dandadan 2nd Season,ダンダダン 第2期,8.42,270806,520300,2025,Action|Comedy|Supernatural,https://myanimelist.net/anime/60543/Dandadan_2nd_Season
211,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re：ゼロから始める異世界生活 2 part 2,8.42,624907,1052463,2021,Drama|Fantasy|Suspense,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
207,Kono Oto Tomare! Part 2,この音とまれ！,8.42,106856,201294,2019,Drama,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
208,Koukaku Kidoutai: Stand Alone Complex,攻殻機動隊 STAND ALONE COMPLEX,8.42,171869,422125,2002,Award Winning|Mystery|Sci-Fi,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
213,Spy x Family,SPY×FAMILY,8.42,1147012,1862585,2022,Action|Award Winning|Comedy,https://myanimelist.net/anime/50265/Spy_x_Family
204,Bungou Stray Dogs 4th Season,文豪ストレイドッグス,8.42,146400,354626,2023,Action|Mystery,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
221,Saiki Kusuo no Ψ-nan,斉木楠雄のΨ難,8.41,692454,1239317,2016,Comedy,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
219,Saiki Kusuo no Ψ-nan 2,斉木楠雄のΨ難 2,8.41,427342,714643,2018,Comedy,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
219,Mononoke,モノノ怪,8.41,105227,364633,2007,Horror|Mystery|Supernatural|Suspense,https://myanimelist.net/anime/2246/Mononoke
