title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Karasu wa Aruji wo Erabanai,烏は主を選ばない,,2024,Drama|Fantasy,8.05,351,18943,12.5,,,,,,,,
NieR:Automata Ver1.1a Part 2,NieR:Automata Ver1.1a 第2クール,,2024,Action|Fantasy|Sci-Fi|Adventure,8.05,353,37637,12.0,6.9,253.0,13257.0,1.95,,,,
Angel Beats!,Angel Beats!（エンジェルビーツ!）,天使的心跳！,2010,Drama|Fantasy,8.05,350,1342271,12.75,,,,,7.6,173.0,22590.0,33.33
Mahoutsukai no Yome,魔法使いの嫁,魔法使的新娘,2017,Drama|Fantasy|Romance|Action|Adventure,8.05,347,423025,13.5,9.0,10.0,187509.0,96.5,7.2,257.0,3885.0,0.78
Durarara!!x2 Ketsu,デュラララ!!×2 結,无头骑士异闻录×2 结,2016,Action|Mystery|Supernatural|Adventure|Comedy,8.05,348,196235,13.25,8.9,12.0,1957.0,95.72,7.2,250.0,4039.0,3.49
Boku no Hero Academia 2nd Season,僕のヒーローアカデミア,小魔女学园,2017,Action|Adventure,8.05,349,1841415,13.0,8.2,188.0,116051.0,27.24,7.7,156.0,9853.0,39.92
Hyouka,氷菓,冰菓,2012,Mystery|Slice of Life|Action|Adventure,8.05,346,686176,13.75,8.3,143.0,149296.0,44.75,8.2,60.0,31830.0,77.13
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,ようこそ実力至上主義の教室へ 2nd Season,,2022,Drama|Suspense,8.05,345,453188,14.0,,,,,,,,
Jibaku Shounen Hanako-kun 2 Part 2,地縛少年花子くん2 後編,,2025,Supernatural|Comedy|Drama,8.04,362,17071,9.75,8.3,142.0,10992.0,45.14,,,,
Sakura-sou no Pet na Kanojo,さくら荘のペットな彼女,樱花庄的宠物女孩,2012,Drama|Romance,8.04,363,741838,9.5,,,,,7.4,210.0,18078.0,18.99
Akatsuki no Yona,暁のヨナ,,2014,Adventure|Fantasy|Romance|Comedy,8.04,361,450675,10.0,8.5,83.0,2164.0,68.09,,,,
Kuroko no Basket,黒子のバスケ,,2012,Sports|Action|Adventure,8.04,364,767568,9.25,8.5,93.0,51183.0,64.2,,,,
Toradora!,とらドラ！,龙与虎,2008,Drama|Romance,8.04,360,1463261,10.25,,,,,8.0,108.0,26594.0,58.53
Gosick,GOSICK -ゴシック-,GOSICK,2011,Drama|Mystery|Romance,8.04,354,246731,11.75,,,,,7.4,223.0,9731.0,13.95
Yowamushi Pedal: Grande Road,弱虫ペダル GRANDE ROAD,,2014,Sports,8.04,358,83509,10.75,,,,,,,,
World Trigger 2nd Season,ワールドトリガー,,2021,Action|Sci-Fi,8.04,357,67732,11.0,,,,,,,,
Koukyoushihen Eureka Seven,交響詩篇エウレカセブン,交响诗篇,2005,Adventure|Drama|Romance|Sci-Fi,8.04,356,188293,11.25,,,,,8.0,106.0,4054.0,59.3
Dorohedoro,ドロヘドロ,异兽魔都,2020,Action|Comedy|Fantasy|Horror|Adventure,8.04,359,313350,10.5,8.2,191.0,28462.0,26.07,7.6,171.0,4002.0,34.11
Darker than Black: Kuro no Keiyakusha,Darker than BLACK -黒の契約者-,DARKER THAN BLACK -黑之契约者-,2007,Action|Mystery|Family|History,8.04,355,452910,11.5,8.3,152.0,652.0,41.25,7.9,124.0,9718.0,52.33
Kimetsu no Yaiba: Hashira Geiko-hen,鬼滅の刃 柱稽古編,,2024,Action|Supernatural|Drama|History,8.03,372,437408,7.25,8.6,59.0,22476.0,77.43,,,,
Yuru Camp△ Season 3,ゆるキャン△ SEASON3,,2024,Slice of Life,8.03,371,37744,7.5,,,,,,,,
Hibike! Euphonium,響け！ユーフォニアム,吹响吧！上低音号,2015,Drama,8.03,370,211019,7.75,,,,,8.3,38.0,21368.0,85.66
Lovely★Complex,ラブ★コン,,2007,Comedy|Romance,8.03,369,315545,8.0,,,,,,,,
Shijou Saikyou no Deshi Kenichi,史上最強の弟子 ケンイチ,,2006,Action|Comedy,8.03,365,165015,9.0,,,,,,,,
Kill la Kill,キルラキル,斩服少女,2013,Action|Comedy|Fantasy|Ecchi,8.03,368,1004936,8.25,,,,,8.1,86.0,17130.0,67.05
Black Lagoon,BLACK LAGOON,黑礁,2006,Action,8.03,367,532622,8.5,,,,,7.8,142.0,5857.0,45.35
No Game No Life,ノーゲーム・ノーライフ,游戏人生,2014,Comedy|Fantasy|Ecchi,8.03,366,1617929,8.75,7.5,248.0,9878.0,3.89,7.7,165.0,24115.0,36.43
Apocalypse Hotel,アポカリプスホテル,末日后酒店,2025,Comedy|Sci-Fi|Action|Adventure,8.02,380,25379,5.25,7.5,247.0,15437.0,4.28,8.2,72.0,14409.0,72.48
Hikaru ga Shinda Natsu,光が死んだ夏,,2025,Horror|Mystery|Supernatural|Comedy|Drama,8.02,379,101330,5.5,8.3,146.0,10992.0,43.58,,,,
Karakai Jouzu no Takagi-san 2,からかい上手の高木さん2,擅长捉弄的高木同学 第二季,2019,Comedy|Romance,8.02,377,195845,6.0,,,,,7.7,155.0,8781.0,40.31
Dennou Coil,電脳コイル,电脑线圈,2007,Adventure|Award Winning|Drama|Mystery|Sci-Fi|Crime,8.02,381,45959,5.0,8.9,14.0,468861.0,94.94,8.1,77.0,4698.0,70.54
Glass no Kamen (2005),ガラスの仮面 (2005),,2005,Drama|Romance,8.02,378,13717,5.75,,,,,,,,
Tsuki ga Kirei,月がきれい,月色真美,2017,Romance|Action|Comedy,8.02,375,275434,6.5,7.7,240.0,36908.0,7.0,7.9,117.0,15978.0,55.04
Shadows House 2nd Season,シャドーハウス 2nd Season,Re：从零开始的异世界生活 第二季 后半部分,2022,Fantasy|Mystery,8.02,376,58533,6.25,,,,,7.6,167.0,12437.0,35.66
Naruto,ナルト,火影忍者,2002,Action|Adventure|Fantasy,8.02,374,2124906,6.75,,,,,7.6,166.0,8685.0,36.05
Mairimashita! Iruma-kun 2nd Season,魔入りました！入間くん,,2021,Comedy|Fantasy,8.02,373,184409,7.0,,,,,,,,
Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,全金属狂潮 校园篇,2003,Action|Comedy,8.01,382,181089,4.75,,,,,8.1,76.0,6330.0,70.93
Kimi ni Todoke,君に届け,好想告诉你,2009,Drama|Romance,8.01,383,517395,4.5,,,,,7.6,168.0,5805.0,35.27
Pui Pui Molcar,PUI PUI モルカー,,2021,Comedy,8.01,384,11411,4.25,,,,,,,,
Ao no Exorcist: Yosuga-hen,青の祓魔師 終夜篇,,2025,Action|Supernatural|Comedy|Drama,8.0,395,30308,1.5,8.3,157.0,10992.0,39.3,,,,
Baby Steps 2nd Season,ベイビーステップ 第2シリーズ,旋转少女,2015,Sports,8.0,394,56847,1.75,,,,,7.3,232.0,2650.0,10.47
Tokyo Magnitude 8.0,東京マグニチュード8.0,东京地震8.0,2009,Award Winning|Drama,8.0,393,130811,2.0,,,,,7.3,224.0,2911.0,13.57
Hanada Shounen-shi,花田少年史,,2002,Comedy|Drama|Supernatural,8.0,392,5343,2.25,,,,,,,,
SK∞,SK∞ エスケーエイト,,2021,Sports,8.0,390,318334,2.75,,,,,,,,
5-toubun no Hanayome ∬,五等分の花嫁∬,,2021,Comedy|Romance|Action|Adventure,8.0,391,490903,2.5,6.6,255.0,12472.0,1.17,,,,
D.Gray-man,ディー・グレイマン,,2006,Action|Adventure|Fantasy,8.0,385,296529,4.0,8.4,128.0,5465.0,50.58,,,,
Magi: The Labyrinth of Magic,マギ The labyrinth of magic,,2012,Action|Adventure|Fantasy,8.0,389,582402,3.0,8.3,155.0,149296.0,40.08,7.3,227.0,6218.0,12.4
Toaru Kagaku no Railgun S,とある科学の超電磁砲S,某科学的超电磁炮S,2013,Action|Fantasy|Sci-Fi,8.0,388,216105,3.25,,,,,7.6,169.0,17341.0,34.88
Juuni Kokuki,十二国記,十二国记,2002,Action|Adventure|Fantasy,8.0,387,49271,3.5,,,,,8.2,69.0,4067.0,73.64
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,やはり俺の青春ラブコメはまちがっている。,我的青春恋爱物语果然有问题,2013,Comedy|Romance,8.0,386,916513,3.75,,,,,7.5,209.0,23236.0,19.38
Ruri no Houseki,瑠璃の宝石,琉璃的宝石,2025,Slice of Life|Drama|Sci-Fi,7.99,396,27729,1.25,8.7,53.0,24491.0,79.77,8.1,87.0,8226.0,66.67
BanG Dream! 3rd Season,BanG Dream!（バンドリ！）第3期,BanG Dream! 第三季,2020,Crime|Drama,7.99,397,20251,1.0,8.5,77.0,6972.0,70.43,7.4,211.0,3385.0,18.6
Clannad,CLANNAD,CLANNAD,2007,Drama|Romance|Comedy,7.99,398,793289,0.75,8.5,73.0,8862.0,71.98,8.4,30.0,27015.0,88.76
Saiunkoku Monogatari 2nd Season,彩雲国物語 第2シリーズ,,2007,Adventure|Fantasy|Romance,7.99,399,18906,0.5,,,,,,,,
Haibane Renmei,灰羽連盟,灰羽联盟,2002,Drama|Fantasy|Mystery|Family|Sci-Fi,7.99,400,114111,0.25,8.8,27.0,95.0,89.88,7.6,178.0,2263.0,31.4
