title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Tensei shitara Slime Datta Ken 2nd Season,転生したらスライムだった件,无职转生～到了异世界就拿出真本事～,2021,Action|Comedy|Fantasy|Crime|Drama,8.34,158,638896,60.75,8.5,76.0,6972.0,70.82,7.9,114.0,24606.0,56.2
Psycho-Pass,サイコパス,心理测量者,2012,Action|Mystery|Sci-Fi|Suspense,8.33,163,827405,59.5,,,,,7.9,113.0,14216.0,56.59
Mushoku Tensei: Isekai Ittara Honki Dasu,無職転生 ～異世界行ったら本気だす～,无职转生 第二季 ～到了异世界就拿出真本事～,2021,Adventure|Drama|Fantasy|Ecchi,8.33,164,959340,59.25,8.6,63.0,2655.0,75.88,7.3,233.0,15136.0,10.08
Bakuman. 2nd Season,バクマン。2ndシーズン,爆漫王。2,2011,Comedy|Drama|Romance,8.33,165,221489,59.0,,,,,8.1,88.0,5234.0,66.28
Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night [Unlimited Blade Works] 2nd シーズン,Fate/stay night [Unlimited Blade Works] 第二季,2015,Action|Fantasy,8.32,166,601860,58.75,,,,,7.5,199.0,17873.0,23.26
One Outs,ワンナウツ,,2008,Sports|Suspense|Action|Adventure,8.32,167,122587,58.5,9.1,3.0,243125.0,99.22,,,,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Re：ゼロから始める異世界生活 2,Re：从零开始的异世界生活 新编集版,2020,Drama|Fantasy|Suspense,8.32,168,746203,58.25,,,,,7.6,181.0,7059.0,30.23
Bakemonogatari,化物語,化物语,2009,Mystery|Romance|Supernatural|Short|Comedy,8.32,169,768434,58.0,8.3,170.0,76.0,34.24,8.4,27.0,23928.0,89.92
Kiseijuu: Sei no Kakuritsu,寄生獣 セイの格率,寄生兽 生命的准则,2014,Action|Horror|Sci-Fi|Suspense|Drama,8.32,170,1244702,57.75,8.2,187.0,61388.0,27.63,8.0,96.0,15895.0,63.18
Usagi Drop,うさぎドロップ,白兔糖,2011,Slice of Life,8.32,171,254574,57.5,,,,,8.0,99.0,8468.0,62.02
Major S6,メジャー 第6シリーズ,,2010,Sports,8.31,175,38929,56.5,,,,,,,,
Diamond no Ace: Second Season,ダイヤのA[エース]～Second Season～,,2015,Sports,8.31,174,82412,56.75,,,,,,,,
Uma Musume: Pretty Derby Season 2,ウマ娘 プリティーダービー Season 2,赛马娘 Pretty Derby 第二季,2021,Sports,8.31,173,56094,57.0,,,,,8.4,32.0,17043.0,87.98
NHK ni Youkoso!,N・H・Kにようこそ！,欢迎加入NHK！,2006,Comedy|Drama|Romance,8.31,172,369174,57.25,,,,,8.2,68.0,8511.0,74.03
Dr. Stone: New World Part 2,Dr.STONE NEW WORLD,石纪元 新世界,2023,Adventure|Comedy,8.3,176,224754,56.25,,,,,7.2,241.0,3791.0,6.98
