list_rank,bgm_rank,id,name,name_cn,year,score,votes,tags,url
82,126,129807,シュタインズ・ゲート ゼロ,命运石之门 0,2018,8.2,15222,命运石之门|游戏改|科幻|WHITEFOX|2018年4月|TV|GAL改|2018|悬疑|穿越|5pb.|空想科学|Nitro+|宫野真守|科学ADV|日本|神作|轮回|恋爱|牧瀬紅莉栖|续作|花田十辉|花泽香菜|中二病|剧情|川村賢一|川村贤一|嘟嘟噜|2018年|催泪,https://chii.in/subject/129807
84,131,315,鋼の錬金術師,钢之炼金术师,2003,8.2,9718,鋼の錬金術師|BONES|骨头社|热血|荒川弘|TV|2003|原创结尾|兄弟|钉宫理惠|奇幻|漫画改|钢炼|朴路美|战斗|热血少年|2003年10月|漫改|兄弟同心|水岛精二|钢之炼金术师|少年|日本|神作|水島精二|原创|改编|2003年|会川升|等价交换,https://chii.in/subject/315
85,132,282684,のんのんびより のんすとっぷ,悠哉日常大王 Nonstop,2021,8.2,6032,日常|治愈|2021年1月|SILVERLINK.|喵帕斯|TV|漫画改|萌|2021|悠哉日常大王|漫改|百合|川面真也|吉田玲子|续作|日本|搞笑|轻百合|校园|乡村|萝莉|2021年|轻百|萌系|TVA|阿澄佳奈|2020s|季番|日本动画|SILVERLINK,https://chii.in/subject/282684
87,135,2496,モノノ怪,物怪,2007,8.2,4177,浮世绘|化猫|和风|樱井孝宏|TV|noitaminA|2007|怪异|原创|モノノ怪|另类系|中村健治|2007年7月|内涵|东映|奇幻|紋理平貼|東映アニメーション|日本|妖怪|悬疑|2008|东映动画|怪化猫|小中千昭|神作|高梨康治|2007年|撞色|听说挺好,https://chii.in/subject/2496
88,137,21032,HUNTER×HUNTER,猎人,2011,8.2,6218,富奸|大坑|MADHouse|重制|猎人|热血|富坚义博|2011年10月|TV|2011|漫画改|心情复杂|JUMP|战斗|富奸义薄|冒险|Hunter|漫改|奇幻|日本|全职猎人|长篇|智斗|神志那弘志|富坚|神作|HUNTER×HUNTER|动画|2011年|看一下看看,https://chii.in/subject/21032
89,139,509986,アポカリプスホテル,末日后酒店,2025,8.2,14409,原创|科幻|2025年4月|CygamesPictures|末世|治愈|TV|奇幻|日常|日本|2025|搞笑|催泪|春藤佳奈|村越繁|2025年|无法预测的命运之舞台|单元剧|4月|喜剧|电波|机器人|key|原创动画|漫画改|神作|京阿尼|末日后酒店|Air|游戏改,https://chii.in/subject/509986
90,142,100501,スペース☆ダンディ シーズン2,太空丹迪 第二季,2014,8.2,3651,BONES|渡边信一郎|原创|TV|科幻|2014年7月|2014|菅野洋子|SPACE☆DANDY|搞笑|夏目真悟|渡辺信一郎|诹访部顺一|汤浅政明|SpaceDandy|日本|单元剧|作画|续作|宇宙|骨头社|2014年|公路片|信本敬子|TVA|木村良平|押山清高|季番|伊藤嘉之|湯浅政明,https://chii.in/subject/100501
91,143,965,BACCANO! -バッカーノ!-,永生之酒,2007,8.2,11312,成田良悟|永生之酒|TV|2007|Baccano!|轻小说改|超·乱序|轻小说|不死之身|神作|BrainsBase|爵士乐型|大乱斗|奇幻|悬疑|大森貴弘|2007年7月|群像|小说改|轻改|Baccano|日本|大森贵弘|群像剧|战斗|禁酒令|剧情|乱序|2007年|Brain,https://chii.in/subject/965
92,144,353605,モブサイコ100 Ⅲ,灵能百分百 第三季,2022,8.2,11199,BONES|战斗|热血|漫画改|2022年10月|TV|灵能百分百|搞笑|奇幻|漫改|2022|ONE|濑古浩司|立川让|日本|莲井隆弘|超能力|治愈|成长|续作|校园|蓮井隆弘|日常|青春|神作|2022年|立川譲|樱井孝宏|骨头社|瀬古浩司,https://chii.in/subject/353605
93,145,995,N・H・Kにようこそ！,欢迎加入NHK！,2006,8.2,8511,GONZO|NHK|家里蹲|TV|NEET|社会问题|2006|宅|脱宅|牧野由依|治愈|中原岬|阴谋|小说改|御宅描写|2006年7月|NHKにようこそ!|轻小说改|山本裕介|日本|神作|轻改|日常|搞笑|漫画改|恋爱|2006年|社会|漫改|恶搞,https://chii.in/subject/995
