id,list_rank,bgm_rank,name,name_cn,year,score,votes,tags,url
444557,421,783,無職転生Ⅱ ～異世界行ったら本気だす～ 第2クール,无职转生 第二季 ～到了异世界就拿出真本事～ 第2部分,2024,7.6,13170,异世界|轻小说改|2024年4月|StudioBind|后宫|奇幻|无职转生|TV|战斗|2024|轻改|穿越|续作|小说改|冒险|日本|無職轉生|恋爱|渋谷亮介|平野宏树|涩谷亮介|亲情|转生|成长|大野敏哉|2024年|魔法|热血|校园|日常,https://chii.in/subject/444557
10440,424,790,あの日見た花の名前を僕達はまだ知らない。,我们仍未知道那天所看见的花的名字。,2011,7.6,26280,治愈|催泪|友情|あの日見た花の名前を僕達はまだ知らない|2011年4月|A-1Pictures|原创|TV|伤感|2011|あの花|noitaminA|恋爱|A-1|长井龙雪|日本|櫻井孝宏|冈田麿里|青春|岡田麿里|四月番|未闻花名|入野自由|長井龍雪|冈田磨里|日常|茅野爱衣|2011年|奇幻|神作,https://chii.in/subject/10440
183878,426,792,ヴァイオレット・エヴァーガーデン,紫罗兰永恒花园,2018,7.6,21202,京阿尼|轻小说改|紫罗兰永恒花园|治愈|2018年1月|TV|京都动画|奇幻|石立太一|2018|轻改|日常|小说改|京都アニメーション|日本|催泪|文库唯一大赏|恋爱|吉田玲子|2018年|石川由依|单元剧|战争|京都|神作|成长|剧情|子安武人|人类圣经|爱情,https://chii.in/subject/183878
5649,429,802,生徒会役員共,妄想学生会,2010,7.5,10113,黄段子|吐槽|搞笑|2010年7月|學生會|TV|工口|黄段子学生会|GoHands|漫画改|校园|2010|日常|女校什么的太邪恶了|日笠阳子|糟糕|脑补|漫改|超M会长|妄想学生会|学生会|糟糕物可能|日本|后宫|金澤洪充|2010年|浅沼晋太郎|金泽洪充|氏家ト全|节操,https://chii.in/subject/5649
331480,431,805,明日ちゃんのセーラー服,明日同学的水手服,2022,7.5,7060,CloverWorks|日常|百合|校园|2022年1月|漫画改|TV|治愈|2022|青春|漫改|黒木美幸|河野恵美|博|福島祐一|日本|轻百合|少女|2022年|水手服|黑木美幸|山崎莉乃|青年向|日本动画|TVA|美少女|明日同学的水手服|轻百|村上まなつ|2020s,https://chii.in/subject/331480
274234,432,807,小林さんちのメイドラゴンS,小林家的龙女仆S,2021,7.5,13537,京阿尼|日常|搞笑|2021年7月|百合|TV|小林家的龙女仆|漫画改|漫改|京都动画|2021|武本康弘|石原立也|萌|日本|奇幻|京都アニメーション|治愈|轻百合|续作|战斗|小林家的妹抖龙|2021年|喜剧|萌系|山田由香|未定档|轻百|京都|TVA,https://chii.in/subject/274234
509297,434,817,ウマ娘 シンデレラグレイ,赛马娘 芦毛灰姑娘,2025,7.5,8379,赛马娘|运动|CygamesPictures|2025年4月|漫画改|TV|热血|励志|日本|2025|漫改|偶像|伊藤祐毅|久住太阳|金田一士|竞技|百合|cygames|三浦武弘|2025年|校园|小栗帽|みうらたけひろ|神作|日常|轻百合|游戏改|原创|续作|2025春,https://chii.in/subject/509297
514358,436,820,CITY THE ANIMATION,小城日常,2025,7.5,7638,京阿尼|日常|2025年7月|漫画改|TV|搞笑|京都动画|2025|石立太一|日本|电波|漫改|京都アニメーション|青年向|新井圭一|治愈|喜剧|群像|2025年|校园|萌|轻百合|青春|7月|小城日常|石川由依|奇幻|TVA|小松未可子|豊崎愛生,https://chii.in/subject/514358
199392,443,830,血界戦線 & BEYOND,血界战线 & BEYOND,2017,7.5,6529,BONES|战斗|奇幻|2017年10月|漫画改|TV|血界战线|热血|漫改|2017|续作|搞笑|第二季|高柳滋仁|日本|加茂靖子|群像|2017年|骨头社|日常|单元剧|内藤泰弘|川元利浩|岩崎太整|日本动画|石田彰|中井和哉|季番|燃|科幻,https://chii.in/subject/199392
390555,444,833,New PANTY & STOCKING with GARTERBELT,新 吊带袜天使,2025,7.5,6287,原创|TRIGGER|今石洋之|2025年7月|TV|搞笑|战斗|奇幻|喜剧|吊带袜天使|2025|日本|恶搞|续作|2023|抽象|美式|重口|猎奇|未确定|百合|2025年|未定档|下限|少儿不宜|季番|7月|若林广海|日本动画|2020s,https://chii.in/subject/390555
2585,448,839,とある科学の超電磁砲,某科学的超电磁炮,2009,7.5,22276,J.C.STAFF|炮姐|超电磁炮|百合|御坂美琴|2009年10月|TV|bilibili|战斗|漫画改|黑子|2009|魔法禁书目录|科学超电磁炮|校园|科幻|傲娇娘|漫改|日常|日本|奇幻|长井龙雪|超能力|轻小说改|某科学的超电磁炮|姐控|長井龍雪|轻改|轻百合|热血,https://chii.in/subject/2585
486347,449,840,薬屋のひとりごと 第2期,药屋少女的呢喃 第二季,2025,7.5,6376,推理|2025年1月|悬疑|TV|轻小说改|中国风|TOHOanimationSTUDIO|小说改|日本|2025|恋爱|轻改|OLM|续作|宫廷|日常|悠木碧|筆坂明規|2025年|中华风|笔坂明规|药屋少女的呢喃|东宝|治愈|2025年4月|搞笑|半年番|长沼范裕|漫画改|女性向,https://chii.in/subject/486347
54433,450,842,やはり俺の青春ラブコメはまちがっている。,我的青春恋爱物语果然有问题,2013,7.5,23193,轻小说改|校园|恋爱|我的青春恋爱物语果然有问题|2013年4月|大老师|TV|BrainsBase|2013|早见纱织|轻改|青春|小说改|悠木碧|日本|日常|党争|后宫|渡航|小松未可子|东山奈央|搞笑|吉村愛|吉村爱|春物|2013年|早见沙织|江口拓也|菅正太郎|やなぎなぎ,https://chii.in/subject/54433
95225,451,843,Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],2014,7.5,18911,Type-Moon|ufotable|Fate|2014年10月|游戏改|战斗|TV|UBW|FateStayNight|奇幻|GAL改|2014|热血|三浦貴博|日本|fsn|恋爱|三浦贵博|2014年|奈須きのこ|小山力也|奈须蘑菇|植田佳奈|远坂凛|魔法|游改|Saber|期待|川澄绫子|型月,https://chii.in/subject/95225
251831,454,848,斉木楠雄のΨ難 完結編,齐木楠雄的灾难 完结篇,2018,7.5,7251,搞笑|J.C.STAFF|校园|漫画改|2018|TV|超能力|日常|齐木楠雄的灾难|漫改|2018年12月|神谷浩史|OVA|日本|2019年1月|奇幻|吐槽|续作|桜井弘明|SP|樱井弘明|EGGFIRM|2018年|恋爱|JUMP|2018年10月|治愈|茅野爱衣|TVSP|EGG_FIRM,https://chii.in/subject/251831
1444,459,859,咲-Saki-,天才麻将少女,2009,7.5,6656,百合|麻将|GONZO|TV|超能力百合麻雀少女|2009年4月|天才麻将少女|漫画改|2009|外挂|saki|钉宫理惠|萌|巨乳|校园|漫改|小野学|竞技|超能力|热血|麻将少女|日本|植田佳奈|运动|LOLI|轻百合|燃|小清水亚美|日常|2009年,https://chii.in/subject/1444
