title,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Samurai Champloo,2004,Action|Adventure|Comedy,8.52,95,681447,53.0,8.5,64.0,62899.0,58.0,,,,
Jujutsu Kaisen,2020,Action|Award Winning|Supernatural|Adventure,8.52,96,1959719,52.5,8.5,54.0,189010.0,64.67,,,,
Fate/strange Fake,2026,Action|Fantasy|Adventure,8.51,97,16142,52.0,8.3,118.0,1110.0,22.0,,,,
Gintama. Porori-hen,2017,Action|Comedy|Sci-Fi|Adventure|Drama,8.51,98,111819,51.5,8.4,82.0,19.0,46.0,7.4,22.0,5456.0,16.0
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,2004,Mystery|Sci-Fi|Action|Crime,8.51,99,108868,51.0,8.5,56.0,22272.0,63.33,9.1,2.0,10994.0,96.0
Grand Blue Season 2,2025,Comedy|Action|Adventure,8.5,103,80529,49.0,8.3,107.0,51454.0,29.33,,,,
Yuru Camp△ Season 2,2021,Slice of Life|Action|Adventure,8.5,102,112164,49.5,8.5,57.0,189010.0,62.67,,,,
Sora yori mo Tooi Basho,2018,Adventure|Comedy|Drama|Action,8.5,101,234646,50.0,8.5,58.0,64638.0,62.0,,,,
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,2016,Action|Adventure|Crime|Drama,8.5,100,863109,50.5,8.4,78.0,72747.0,48.67,,,,
Mob Psycho 100,2016,Action|Comedy|Supernatural,8.49,104,1405801,48.5,8.5,59.0,64638.0,61.33,,,,
Uchuu Kyoudai,2012,Comedy,8.48,105,55751,48.0,,,,,,,,
One Punch Man,2015,Action|Comedy,8.48,106,2403052,47.5,8.6,39.0,221886.0,74.67,,,,
Ousama Ranking,2021,Adventure|Fantasy|Action,8.48,107,393967,47.0,8.4,76.0,15460.0,50.0,,,,
Yakusoku no Neverland,2019,Mystery|Suspense|Action|Adventure,8.47,108,1386541,46.5,8.1,133.0,57146.0,12.0,,,,
Ansatsu Kyoushitsu 2nd Season,2016,Action|Comedy,8.47,109,965180,46.0,7.9,140.0,27380.0,7.33,,,,
Aria the Origination,2008,Sci-Fi|Slice of Life|Adventure|Drama,8.47,110,34615,45.5,8.4,73.0,19.0,52.0,,,,
Nichijou,2011,Comedy,8.47,111,398379,45.0,,,,,,,,
Rainbow: Nisha Rokubou no Shichinin,2010,Drama|Suspense|Comedy,8.46,112,166292,44.5,8.4,72.0,5700.0,52.67,,,,
Summertime Render,2022,Mystery|Supernatural|Suspense|Short|Action,8.46,113,284987,44.0,8.3,111.0,1970.0,26.67,,,,
Owarimonogatari,2015,Comedy|Mystery|Supernatural|Fantasy,8.45,117,250125,42.0,8.4,77.0,2552.0,49.33,,,,
Banana Fish,2018,Action|Adventure|Drama|Suspense,8.45,116,410438,42.5,,,,,,,,
Grand Blue,2018,Comedy,8.45,115,477072,43.0,,,,,,,,
Chihayafuru 3,2019,Drama|Romance|Sports|Action,8.45,114,70334,43.5,8.7,25.0,101016.0,84.0,,,,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,2015,Action|Adventure,8.44,118,871286,41.5,,,,,,,,
Dandadan,2024,Action|Comedy|Supernatural|Adventure,8.43,119,565634,41.0,8.3,113.0,51454.0,25.33,,,,
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,2024,Drama|Fantasy|Suspense,8.43,120,213984,40.5,,,,,,,,
Zoku Owarimonogatari,2019,Comedy|Mystery|Supernatural|Action|Adventure,8.43,121,120448,40.0,7.7,145.0,22844.0,4.0,,,,
Chainsaw Man,2022,Action|Fantasy|Comedy,8.43,122,1109294,39.5,8.3,116.0,97277.0,23.33,,,,
Spy x Family,2022,Action|Award Winning|Comedy,8.43,123,1143450,39.0,8.2,131.0,59800.0,13.33,,,,
Haikyuu!!,2014,Sports|Comedy|Drama,8.43,124,1335073,38.5,8.7,37.0,51821.0,76.0,,,,
Golden Kamuy 3rd Season,2020,Action|Adventure,8.43,125,97177,38.0,8.0,138.0,3473.0,8.67,,,,
Dandadan 2nd Season,2025,Action|Comedy|Supernatural|Adventure,8.42,129,265643,36.0,8.3,105.0,51454.0,30.67,,,,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,2021,Drama|Fantasy|Suspense|Adventure,8.42,130,622922,35.5,8.6,49.0,2655.0,68.0,,,,
Kono Oto Tomare! Part 2,2019,Drama,8.42,128,106592,36.5,,,,,,,,
Koukaku Kidoutai: Stand Alone Complex,2002,Award Winning|Mystery|Sci-Fi|Action|Crime,8.42,127,171707,37.0,8.5,62.0,22272.0,59.33,,,,
Bungou Stray Dogs 4th Season,2023,Action|Mystery,8.42,126,145729,37.5,,,,,,,,
Medalist 2nd Season,2026,Drama|Sports,8.41,131,3260,35.0,,,,,,,,
Saiki Kusuo no Ψ-nan,2016,Comedy|Adventure,8.41,132,690845,34.5,8.9,10.0,1957.0,94.0,,,,
Saiki Kusuo no Ψ-nan 2,2018,Comedy|Action|Adventure,8.41,133,426492,34.0,8.1,135.0,57146.0,10.67,,,,
Mononoke,2007,Horror|Mystery|Supernatural|Suspense,8.41,134,105037,33.5,,,,,,,,
