rank,title,score,scored_by,members,year,genres
143,[Oshi no Ko],8.54,605072,1023553,2023,Award Winning|Drama
142,Shouwa Genroku Rakugo Shinjuu,8.54,99178,312445,2016,Drama
141,Shingeki no Kyojin Season 2,8.54,2042064,2984718,2017,Action|Drama|Suspense
139,Fate/Zero 2nd Season,8.54,752066,1187312,2012,Action|Fantasy
145,[Oshi no Ko] 3rd Season,8.53,20179,207532,2026,Drama
146,Chiikawa,8.53,5285,17834,2022,Slice of Life
144,Zoku Natsume Yuujinchou,8.53,133683,265303,2009,Slice of Life|Supernatural
147,Fruits Basket 2nd Season,8.53,299331,577762,2020,Drama|Romance|Supernatural
149,Dr. Stone: Science Future Part 2,8.52,100274,205057,2025,Adventure|Comedy
154,[Oshi no Ko] 2nd Season,8.52,244513,498433,2024,Drama
148,Bakuman. 3rd Season,8.52,202795,346660,2012,Comedy|Drama|Romance
153,Samurai Champloo,8.52,681447,1339233,2004,Action|Adventure|Comedy
151,Jujutsu Kaisen,8.52,1959719,2974255,2020,Action|Award Winning|Supernatural
156,Fate/strange Fake,8.51,16142,131328,2026,Action|Fantasy
157,Gintama. Porori-hen,8.51,111819,220496,2017,Action|Comedy|Sci-Fi
159,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,108868,240616,2004,Mystery|Sci-Fi
166,Grand Blue Season 2,8.5,80529,187338,2025,Comedy
165,Yuru Camp△ Season 2,8.5,112164,251514,2021,Slice of Life
164,Sora yori mo Tooi Basho,8.5,234646,549608,2018,Adventure|Comedy|Drama
160,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,863109,1249378,2016,Action|Adventure
167,Mob Psycho 100,8.49,1405801,2292823,2016,Action|Comedy|Supernatural
169,Uchuu Kyoudai,8.48,55751,209332,2012,Comedy
172,One Punch Man,8.48,2403052,3487674,2015,Action|Comedy
173,Ousama Ranking,8.48,393967,746148,2021,Adventure|Fantasy
175,Yakusoku no Neverland,8.47,1386541,2134677,2019,Mystery|Suspense
176,Ansatsu Kyoushitsu 2nd Season,8.47,965180,1554416,2016,Action|Comedy
177,Aria the Origination,8.47,34615,140581,2008,Sci-Fi|Slice of Life
174,Nichijou,8.47,398379,974561,2011,Comedy
181,Rainbow: Nisha Rokubou no Shichinin,8.46,166292,422358,2010,Drama|Suspense
184,Yuu☆Yuu☆Hakusho,8.46,355688,747134,1992,Action|Supernatural
182,Summertime Render,8.46,284987,664432,2022,Mystery|Supernatural|Suspense
191,Owarimonogatari,8.45,250125,507542,2015,Comedy|Mystery|Supernatural
187,Banana Fish,8.45,410438,953422,2018,Action|Adventure|Drama|Suspense
190,Grand Blue,8.45,477072,893151,2018,Comedy
188,Chihayafuru 3,8.45,70334,155979,2019,Drama|Romance|Sports
192,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,871286,1230715,2015,Action|Adventure
199,Dandadan,8.43,565634,929140,2024,Action|Comedy|Supernatural
195,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.43,213984,477624,2024,Drama|Fantasy|Suspense
197,Zoku Owarimonogatari,8.43,120448,250293,2019,Comedy|Mystery|Supernatural
198,Chainsaw Man,8.43,1109294,1914689,2022,Action|Fantasy
196,Spy x Family,8.43,1143450,1857147,2022,Action|Award Winning|Comedy
203,Hunter x Hunter,8.43,312078,642381,1999,Action|Adventure|Fantasy
202,Haikyuu!!,8.43,1335073,2151557,2014,Sports
201,Golden Kamuy 3rd Season,8.43,97177,196930,2020,Action|Adventure
205,Dandadan 2nd Season,8.42,265643,514059,2025,Action|Comedy|Supernatural
211,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,622922,1049609,2021,Drama|Fantasy|Suspense
207,Kono Oto Tomare! Part 2,8.42,106592,200918,2019,Drama
208,Koukaku Kidoutai: Stand Alone Complex,8.42,171707,421639,2002,Award Winning|Mystery|Sci-Fi
204,Bungou Stray Dogs 4th Season,8.42,145729,353513,2023,Action|Mystery
221,Medalist 2nd Season,8.41,3260,30183,2026,Drama|Sports
217,Saiki Kusuo no Ψ-nan,8.41,690845,1236595,2016,Comedy
218,Saiki Kusuo no Ψ-nan 2,8.41,426492,713297,2018,Comedy
222,Mononoke,8.41,105037,363990,2007,Horror|Mystery|Supernatural|Suspense
220,Kimetsu no Yaiba,8.41,2335191,3401891,2019,Action|Award Winning|Supernatural
223,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,1200332,1916534,2019,Comedy|Romance
233,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.39,318219,553575,2024,Adventure|Drama|Fantasy|Ecchi
230,Houseki no Kuni,8.39,217734,512925,2017,Action|Drama|Fantasy|Mystery
232,Major S5,8.39,43689,75578,2009,Sports
236,Kaze ga Tsuyoku Fuiteiru,8.38,150214,332354,2018,Drama|Sports
240,Vivy: Fluorite Eye's Song,8.38,270022,601549,2021,Action|Sci-Fi|Suspense
237,Mahou Shoujo Madoka★Magica,8.38,810022,1395914,2011,Award Winning|Drama|Suspense
248,Medalist,8.37,35119,84301,2025,Drama|Sports
245,3-gatsu no Lion,8.37,299024,728617,2016,Drama
247,Haikyuu!! To the Top,8.37,641353,1040931,2020,Sports
246,Chihayafuru 2,8.37,137695,251584,2013,Drama|Romance|Sports
249,Shinseiki Evangelion,8.37,1199469,2003625,1995,Avant Garde|Award Winning|Drama|Sci-Fi|Suspense
255,Girls Band Cry,8.36,52547,132153,2024,Drama
252,Cross Game,8.36,53504,132185,2009,Drama|Romance|Sports
256,Initial D First Stage,8.36,215979,434404,1998,Action|Drama
260,Karakai Jouzu no Takagi-san 3,8.36,95305,209904,2022,Comedy|Romance
251,Barakamon,8.36,360121,708861,2014,Slice of Life
266,Ashita no Joe,8.35,28960,110894,1970,Drama|Sports
266,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,451525,811310,2020,Comedy|Romance
263,Non Non Biyori Nonstop,8.35,53501,138045,2021,Slice of Life
270,Fumetsu no Anata e,8.35,419386,984793,2021,Adventure|Drama|Supernatural
268,Baccano!,8.35,397525,953751,2007,Action|Mystery|Supernatural
263,Versailles no Bara,8.35,33865,113358,1979,Drama|Romance
281,Yofukashi no Uta Season 2,8.34,82923,227258,2025,Romance|Supernatural
275,Hibike! Euphonium 2,8.34,135196,255093,2016,Drama
273,86,8.34,498341,951252,2021,Drama|Sci-Fi
276,IDOLiSH7 Third Beat! Part 2,8.34,6026,17860,2022,Drama
278,Kono Subarashii Sekai ni Shukufuku wo! 3,8.34,231422,537126,2024,Adventure|Comedy|Fantasy
277,Kimetsu no Yaiba: Mugen Ressha-hen,8.34,580413,956856,2021,Action|Supernatural
280,Tensei shitara Slime Datta Ken 2nd Season,8.34,637375,1096075,2021,Action|Comedy|Fantasy
284,Golden Kamuy: Saishuushou,8.33,3502,49142,2026,Action|Adventure
289,Psycho-Pass,8.33,826619,1737774,2012,Action|Mystery|Sci-Fi|Suspense
286,Mushoku Tensei: Isekai Ittara Honki Dasu,8.33,956700,1546726,2021,Adventure|Drama|Fantasy|Ecchi
282,Bakuman. 2nd Season,8.33,221301,370538,2011,Comedy|Drama|Romance
298,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,600858,914083,2015,Action|Fantasy
292,One Outs,8.32,122434,255209,2008,Sports|Suspense
293,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.32,744262,1261110,2020,Drama|Fantasy|Suspense
295,Bakemonogatari,8.32,767708,1481010,2009,Mystery|Romance|Supernatural
290,Kiseijuu: Sei no Kakuritsu,8.32,1243074,2023104,2014,Action|Horror|Sci-Fi|Suspense
294,Usagi Drop,8.32,254355,522647,2011,Slice of Life
300,Dr. Stone: New World Part 2,8.31,223293,414927,2023,Adventure|Comedy
303,Major S6,8.31,38881,67060,2010,Sports
306,Romeo no Aoi Sora,8.31,19063,55612,1995,Adventure|Drama
309,Uma Musume: Pretty Derby Season 2,8.31,55146,104372,2021,Sports
305,NHK ni Youkoso!,8.31,368292,824751,2006,Comedy|Drama|Romance
315,Ookami to Koushinryou II,8.3,288641,518750,2009,Adventure|Drama|Romance|Supernatural
314,Natsume Yuujinchou,8.3,198794,584224,2008,Slice of Life|Supernatural
312,Diamond no Ace: Second Season,8.3,82284,149523,2015,Sports
313,Initial D Final Stage,8.3,84509,164938,2014,Action|Drama
311,Boku dake ga Inai Machi,8.3,1466938,2272001,2016,Mystery|Suspense
318,Kingdom 2nd Season,8.29,73538,148405,2013,Action
317,Kemono no Souja Erin,8.29,22786,93815,2009,Drama|Fantasy
319,Kuroko no Basket 3rd Season,8.29,509058,824933,2015,Sports
316,Katanagatari,8.29,222981,590611,2010,Action|Adventure|Romance
323,Sakamichi no Apollon,8.29,181772,413587,2012,Drama|Romance
332,Given,8.29,343808,630788,2019,Boys Love|Drama
325,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.29,518760,894382,2021,Action|Comedy|Fantasy
330,Beck,8.29,150088,372287,2004,Drama
329,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.29,1030124,1697776,2011,Drama|Supernatural
321,Naruto: Shippuuden,8.29,1804566,2717170,2007,Action|Adventure|Fantasy
328,Yuukoku no Moriarty Part 2,8.29,135784,288367,2021,Mystery|Suspense
333,Diamond no Ace: Act II,8.28,50474,100650,2019,Sports
335,Kino no Tabi: The Beautiful World,8.28,105266,352260,2003,Adventure|Drama|Fantasy
338,Tanoshii Muumin Ikka,8.28,13820,32961,1990,Adventure|Fantasy|Slice of Life
343,Gin no Saji 2nd Season,8.27,94291,154537,2014,Comedy
339,Rurouni Kenshin: Meiji Kenkaku Romantan,8.27,247245,522451,1996,Action|Comedy|Romance
349,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.26,124961,251592,2024,Action|Adventure|Fantasy
347,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.26,290049,518389,2023,Action|Comedy|Fantasy
351,Space☆Dandy 2nd Season,8.26,95510,181513,2014,Comedy|Sci-Fi
356,Dororo,8.26,693634,1361319,2019,Action|Adventure|Fantasy
355,Yuru Camp△,8.26,238031,537874,2018,Slice of Life
350,Shirobako,8.26,149040,468794,2014,Award Winning|Comedy|Drama
359,Gyakkyou Burai Kaiji: Ultimate Survivor,8.26,176926,388467,2007,Suspense
357,Dr. Stone,8.26,1167192,1932454,2019,Adventure|Comedy
358,Fate/Zero,8.26,908116,1592401,2011,Action|Fantasy
363,Dr. Stone: Science Future,8.25,138676,289562,2025,Adventure|Comedy
364,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,8.25,153093,288188,2023,Action|Adventure|Fantasy
368,Nodame Cantabile,8.25,134081,330771,2007,Comedy|Romance
